Entry Time,Exit Time,Entry Price,Exit Price,Reason,PnL (pts)
2024-10-04 09:30:00+05:30,2024-10-04 09:45:00+05:30,25118.35,25163.35,SL,-45.0
2024-10-07 09:30:00+05:30,2024-10-07 10:30:00+05:30,25071.25,24995.25,TP,76.0
2024-10-09 11:30:00+05:30,2024-10-09 11:45:00+05:30,25206.2,25130.2,TP,76.0
2024-10-09 12:45:00+05:30,2024-10-09 14:15:00+05:30,25130.2,25054.2,TP,76.0
2024-10-11 13:30:00+05:30,2024-10-11 15:15:00+05:30,24960.05,24975.05,EOD,-15.0
2024-10-14 10:00:00+05:30,2024-10-14 11:45:00+05:30,25091.45,25136.45,SL,-45.0
2024-10-16 12:30:00+05:30,2024-10-16 13:00:00+05:30,24941.1,24986.1,SL,-45.0
2024-10-17 11:45:00+05:30,2024-10-17 15:15:00+05:30,24775.6,24750.2,EOD,25.4
2024-10-22 12:30:00+05:30,2024-10-22 14:30:00+05:30,24635.9,24559.9,TP,76.0
2024-10-23 12:00:00+05:30,2024-10-23 14:00:00+05:30,24571.05,24495.05,TP,76.0
2024-10-24 09:30:00+05:30,2024-10-24 10:00:00+05:30,24400.95,24445.95,SL,-45.0
2024-10-24 13:30:00+05:30,2024-10-24 15:15:00+05:30,24394.6,24414.6,EOD,-20.0
2024-10-25 12:15:00+05:30,2024-10-25 15:00:00+05:30,24132.5,24177.5,SL,-45.0
2024-10-29 13:15:00+05:30,2024-10-29 14:00:00+05:30,24315.55,24360.55,SL,-45.0
2024-10-30 12:30:00+05:30,2024-10-30 13:00:00+05:30,24432.25,24477.25,SL,-45.0
2024-10-31 12:15:00+05:30,2024-10-31 15:15:00+05:30,24232.25,24238.5,EOD,-6.25
2024-11-04 09:45:00+05:30,2024-11-04 10:00:00+05:30,24056.75,23980.75,TP,76.0
2024-11-05 13:00:00+05:30,2024-11-05 13:15:00+05:30,23908.5,23953.5,SL,-45.0
2024-11-06 12:45:00+05:30,2024-11-06 13:00:00+05:30,24419.95,24464.95,SL,-45.0
2024-11-07 11:45:00+05:30,2024-11-07 15:15:00+05:30,24211.25,24194.6,EOD,16.65
2024-11-12 12:00:00+05:30,2024-11-12 12:30:00+05:30,24124.35,24048.35,TP,76.0
2024-11-12 13:15:00+05:30,2024-11-12 13:30:00+05:30,23990.55,23914.55,TP,76.0
2024-11-13 12:30:00+05:30,2024-11-13 14:15:00+05:30,23682.45,23606.45,TP,76.0
2024-11-14 10:15:00+05:30,2024-11-14 11:00:00+05:30,23594.9,23518.9,TP,76.0
2024-11-19 12:30:00+05:30,2024-11-19 14:45:00+05:30,23744.5,23668.5,TP,76.0
2024-11-22 13:30:00+05:30,2024-11-22 13:45:00+05:30,23683.35,23728.35,SL,-45.0
2024-11-26 11:15:00+05:30,2024-11-26 13:30:00+05:30,24206.8,24130.8,TP,76.0
2024-11-27 11:15:00+05:30,2024-11-27 12:15:00+05:30,24192.35,24237.35,SL,-45.0
2024-11-27 13:30:00+05:30,2024-11-27 15:15:00+05:30,24316.7,24277.35,EOD,39.35
2024-11-28 09:30:00+05:30,2024-11-28 09:45:00+05:30,24265.5,24310.5,SL,-45.0
2024-11-28 12:00:00+05:30,2024-11-28 13:00:00+05:30,24052.65,23976.65,TP,76.0
2024-12-04 10:15:00+05:30,2024-12-04 11:45:00+05:30,24536.1,24460.1,TP,76.0
2024-12-05 12:30:00+05:30,2024-12-05 13:00:00+05:30,24588.2,24633.2,SL,-45.0
2024-12-06 11:15:00+05:30,2024-12-06 15:15:00+05:30,24702.15,24669.0,EOD,33.15
2024-12-10 12:15:00+05:30,2024-12-10 12:30:00+05:30,24618.85,24542.85,TP,76.0
2024-12-11 09:45:00+05:30,2024-12-11 10:15:00+05:30,24614.3,24659.3,SL,-45.0
2024-12-11 11:15:00+05:30,2024-12-11 15:15:00+05:30,24648.5,24629.5,EOD,19.0
2024-12-12 09:45:00+05:30,2024-12-12 12:00:00+05:30,24646.7,24570.7,TP,76.0
2024-12-13 13:15:00+05:30,2024-12-13 13:30:00+05:30,24627.3,24672.3,SL,-45.0
2024-12-16 11:45:00+05:30,2024-12-16 13:15:00+05:30,24628.05,24673.05,SL,-45.0
2024-12-23 09:30:00+05:30,2024-12-23 09:45:00+05:30,23721.95,23766.95,SL,-45.0
2024-12-23 13:15:00+05:30,2024-12-23 14:15:00+05:30,23674.15,23719.15,SL,-45.0
2024-12-24 11:30:00+05:30,2024-12-24 13:30:00+05:30,23827.05,23751.05,TP,76.0
2024-12-27 10:45:00+05:30,2024-12-27 12:15:00+05:30,23906.95,23830.95,TP,76.0
2024-12-30 11:00:00+05:30,2024-12-30 11:30:00+05:30,23800.2,23845.2,SL,-45.0
2025-01-02 12:15:00+05:30,2025-01-02 12:30:00+05:30,23933.9,23978.9,SL,-45.0
2025-01-03 10:30:00+05:30,2025-01-03 11:15:00+05:30,24037.0,24082.0,SL,-45.0
2025-01-06 09:30:00+05:30,2025-01-06 09:45:00+05:30,24016.4,23940.4,TP,76.0
2025-01-07 11:45:00+05:30,2025-01-07 15:15:00+05:30,23740.55,23694.6,EOD,45.95
2025-01-08 09:45:00+05:30,2025-01-08 10:00:00+05:30,23626.7,23671.7,SL,-45.0
2025-01-08 11:45:00+05:30,2025-01-08 13:30:00+05:30,23569.1,23614.1,SL,-45.0
2025-01-09 12:30:00+05:30,2025-01-09 15:15:00+05:30,23551.05,23557.2,EOD,-6.15
2025-01-10 12:30:00+05:30,2025-01-10 14:15:00+05:30,23503.05,23427.05,TP,76.0
2025-01-13 11:00:00+05:30,2025-01-13 11:30:00+05:30,23293.1,23217.1,TP,76.0
2025-01-13 12:15:00+05:30,2025-01-13 13:45:00+05:30,23211.6,23135.6,TP,76.0
2025-01-15 13:00:00+05:30,2025-01-15 13:15:00+05:30,23246.85,23170.85,TP,76.0
2025-01-16 10:30:00+05:30,2025-01-16 15:15:00+05:30,23302.35,23347.35,SL,-45.0
2025-01-17 11:45:00+05:30,2025-01-17 12:00:00+05:30,23141.0,23186.0,SL,-45.0
2025-01-17 12:45:00+05:30,2025-01-17 15:15:00+05:30,23209.4,23203.1,EOD,6.3
2025-01-20 12:30:00+05:30,2025-01-20 13:15:00+05:30,23336.1,23381.1,SL,-45.0
2025-01-21 11:00:00+05:30,2025-01-21 11:45:00+05:30,23170.35,23215.35,SL,-45.0
2025-01-22 09:45:00+05:30,2025-01-22 10:15:00+05:30,23067.75,23112.75,SL,-45.0
2025-01-22 11:00:00+05:30,2025-01-22 12:15:00+05:30,23084.55,23008.55,TP,76.0
2025-01-23 12:45:00+05:30,2025-01-23 15:15:00+05:30,23249.8,23216.3,EOD,33.5
2025-01-24 12:00:00+05:30,2025-01-24 12:30:00+05:30,23320.5,23244.5,TP,76.0
2025-01-27 10:15:00+05:30,2025-01-27 10:30:00+05:30,22960.3,22884.3,TP,76.0
2025-01-28 10:15:00+05:30,2025-01-28 10:30:00+05:30,22872.2,22917.2,SL,-45.0
2025-01-29 12:30:00+05:30,2025-01-29 13:15:00+05:30,23116.0,23161.0,SL,-45.0
2025-01-30 12:45:00+05:30,2025-01-30 13:45:00+05:30,23270.3,23194.3,TP,76.0
2025-02-01 12:30:00+05:30,2025-02-01 13:00:00+05:30,23426.15,23350.15,TP,76.0
2025-02-04 12:00:00+05:30,2025-02-04 12:15:00+05:30,23538.9,23583.9,SL,-45.0
2025-02-05 12:00:00+05:30,2025-02-05 15:15:00+05:30,23738.35,23686.75,EOD,51.6
2025-02-14 10:15:00+05:30,2025-02-14 10:30:00+05:30,23041.55,22965.55,TP,76.0
2025-02-18 10:00:00+05:30,2025-02-18 10:15:00+05:30,22907.55,22831.55,TP,76.0
2025-02-18 12:45:00+05:30,2025-02-18 13:30:00+05:30,22873.45,22918.45,SL,-45.0
2025-02-21 12:45:00+05:30,2025-02-21 13:30:00+05:30,22802.2,22726.2,TP,76.0
2025-02-24 09:30:00+05:30,2025-02-24 13:30:00+05:30,22607.5,22531.5,TP,76.0
2025-02-25 12:30:00+05:30,2025-02-25 15:15:00+05:30,22572.1,22526.3,EOD,45.8
2025-02-27 09:30:00+05:30,2025-02-27 15:15:00+05:30,22551.5,22510.85,EOD,40.65
2025-02-28 11:15:00+05:30,2025-02-28 12:45:00+05:30,22240.2,22164.2,TP,76.0
2025-02-28 13:30:00+05:30,2025-02-28 14:30:00+05:30,22121.2,22166.2,SL,-45.0
2025-03-03 09:30:00+05:30,2025-03-03 09:45:00+05:30,22154.85,22078.85,TP,76.0
2025-03-03 11:00:00+05:30,2025-03-03 12:15:00+05:30,22035.1,22080.1,SL,-45.0
2025-03-03 13:00:00+05:30,2025-03-03 13:15:00+05:30,22105.85,22150.85,SL,-45.0
2025-03-04 11:15:00+05:30,2025-03-04 15:15:00+05:30,22072.4,22080.3,EOD,-7.9
2025-03-05 12:45:00+05:30,2025-03-05 14:15:00+05:30,22368.65,22292.65,TP,76.0
2025-03-07 09:45:00+05:30,2025-03-07 10:00:00+05:30,22478.35,22523.35,SL,-45.0
2025-03-10 12:45:00+05:30,2025-03-10 14:15:00+05:30,22580.65,22504.65,TP,76.0
2025-03-11 11:15:00+05:30,2025-03-11 13:45:00+05:30,22446.85,22491.85,SL,-45.0
2025-03-17 12:15:00+05:30,2025-03-17 15:15:00+05:30,22503.95,22515.25,EOD,-11.3
2025-03-19 11:45:00+05:30,2025-03-19 12:45:00+05:30,22883.75,22928.75,SL,-45.0
2025-03-26 11:00:00+05:30,2025-03-26 11:45:00+05:30,23670.85,23594.85,TP,76.0
2025-03-28 09:15:00+05:30,2025-03-28 10:30:00+05:30,23576.45,23621.45,SL,-45.0
2025-03-28 11:00:00+05:30,2025-03-28 12:15:00+05:30,23612.85,23536.85,TP,76.0
2025-04-02 09:45:00+05:30,2025-04-02 10:30:00+05:30,23233.5,23278.5,SL,-45.0
2025-04-02 12:00:00+05:30,2025-04-02 12:15:00+05:30,23255.0,23300.0,SL,-45.0
2025-04-02 12:30:00+05:30,2025-04-02 15:00:00+05:30,23278.8,23323.8,SL,-45.0
2025-04-04 09:45:00+05:30,2025-04-04 10:00:00+05:30,23048.25,22972.25,TP,76.0
2025-04-04 12:30:00+05:30,2025-04-04 13:45:00+05:30,22963.9,22887.9,TP,76.0
2025-04-07 09:45:00+05:30,2025-04-07 10:15:00+05:30,21977.05,21901.05,TP,76.0
2025-04-07 11:15:00+05:30,2025-04-07 11:30:00+05:30,21980.25,22025.25,SL,-45.0
2025-04-07 11:45:00+05:30,2025-04-07 12:00:00+05:30,21987.05,21911.05,TP,76.0
2025-04-09 11:00:00+05:30,2025-04-09 11:30:00+05:30,22383.5,22428.5,SL,-45.0
2025-04-15 12:45:00+05:30,2025-04-15 15:15:00+05:30,23337.4,23344.1,EOD,-6.7
2025-04-16 10:15:00+05:30,2025-04-16 11:00:00+05:30,23349.65,23273.65,TP,76.0
2025-04-16 11:30:00+05:30,2025-04-16 12:30:00+05:30,23316.15,23361.15,SL,-45.0
2025-04-17 09:15:00+05:30,2025-04-17 09:30:00+05:30,23420.85,23344.85,TP,76.0
